feature	ASV1	ASV2	ASV3	ASV4	ASV5	ASV6	ASV7	ASV8	ASV9	ASV10	ASV11	ASV12	ASV13	ASV14	ASV15	ASV16	ASV17	ASV18	ASV19	ASV20	ASV21	ASV22	ASV23	ASV24	ASV25	ASV26	ASV27	ASV28	ASV29	ASV30	ASV31	ASV33	ASV34	ASV35	ASV36	ASV37	ASV38	ASV39
22010-0038	-4.54573861850188	-4.65426307528005	-4.70589584369537	-4.79835640839033	-4.41267708871029	-4.91055064867326	-4.29964636168651	-4.84905661980102	-4.39530452471217	-4.90607022569059	-4.41426683547268	-4.9747829757746	-4.48100236127448	-11.8349450230622	-4.45459073044368	-9.90565245842884	-4.68271952132928	-4.60260095545756	-4.4760132091868	-4.66747293249766	-10.4952400673549	-10.3883248634384	-9.90565245842884	-4.90383522130728	-5.22520510568627	-4.90607022569059	-10.0694102766992	-9.91027756663373	-10.7362481668587	-4.86853816919399	-4.87509092099315	-4.89492966808539	-10.672117829439	-4.92181296223634	-10.9477522720524	-4.84476288139089	-10.6711872047918	-11.1857603776216
22010-0039	-8.50928016808786	-8.80884044994677	-8.50928016808786	-8.04984854945056	-8.60238957247934	-8.9243176673667	-8.39803107397315	-8.60238957247934	-9.33935516664555	-8.50928016808786	-10.1873520732005	-8.33935516664555	-8.9243176673667	-3.25888276256333	-8.60238957247934	-3.4444384157194	-8.9436869515971	-8.9243176673667	-8.80884044994677	-8.80884044994677	-3.42198356489171	-3.37809592089071	-3.33550404416624	-8.60238957247934	-8.42181732683752	-8.9243176673667	-3.31467054074907	-3.73835213443717	-3.72454633491214	-8.80884044994677	-9.50928016808786	-9.33935516664555	-3.98758074074593	-11.5092801680879	-3.83146153882865	-9.33935516664555	-3.86136302454251	-4.01252709787616
22010-0040	-8.50928016808786	-8.80884044994677	-8.50928016808786	0	-8.60238957247934	-8.9243176673667	-8.39803107397315	-8.60238957247934	-9.33935516664555	-8.50928016808786	-10.1873520732005	-8.33935516664555	-8.9243176673667	-11.8349450230622	-8.60238957247934	-9.90565245842884	-8.9436869515971	-8.9243176673667	-8.80884044994677	-8.80884044994677	-10.4952400673549	-10.3883248634384	-9.90565245842884	-8.60238957247934	-8.42181732683752	-8.9243176673667	-10.0694102766992	-9.91027756663373	-10.7362481668587	-8.80884044994677	-9.50928016808786	-9.33935516664555	-10.672117829439	-11.5092801680879	-10.9477522720524	-9.33935516664555	-10.6711872047918	-11.1857603776216
22010-0041	-8.50928016808786	-8.80884044994677	-8.50928016808786	-8.04984854945056	-8.60238957247934	-8.9243176673667	-8.39803107397315	-8.60238957247934	-9.33935516664555	-8.50928016808786	-10.1873520732005	-8.33935516664555	-8.9243176673667	-3.43299646168906	-7.31214206681467	-3.4150992571625	-8.9436869515971	-8.9243176673667	-8.80884044994677	-8.80884044994677	-3.52597247464769	-3.69323223417018	-3.56271725592183	-8.60238957247934	-8.42181732683752	-8.9243176673667	-3.70526478966507	-3.41707690660294	-3.73949983772938	-8.80884044994677	-9.50928016808786	-9.33935516664555	-3.54098951028842	-11.5092801680879	-3.65305631171561	-9.33935516664555	-3.67892439748629	-3.83673949126559
22010-0042	-4.68432005277782	-4.61851799438207	-4.80113371776057	-4.7200241144595	-4.13177902974904	-4.83276532680968	-4.14495441849677	-4.82921625972861	-4.23131470329995	-5.09722180771267	-4.44010952123568	-4.87239240093039	-4.24780282608852	-11.8349450230622	-4.37139677115166	-9.90565245842884	-4.50941655722269	-4.9169006620699	-4.60935799509659	-4.66837850890879	-10.4952400673549	-10.3883248634384	-9.90565245842884	-4.9169006620699	-5.31322590108657	-4.97846499115164	-10.0694102766992	-9.91027756663373	-10.7362481668587	-4.98240140571081	-4.90191148785044	-4.94351239231722	-10.672117829439	-5.11008395864972	-10.9477522720524	-5.3033443895726	-10.6711872047918	-11.1857603776216
22010-0043	-8.50928016808786	-8.80884044994677	-8.50928016808786	-3.50479215203717	-8.60238957247934	-8.9243176673667	-8.39803107397315	-8.60238957247934	-3.28798076296402	-4.54432051622381	-10.1873520732005	-8.33935516664555	-8.9243176673667	-4.8073549220576	-8.60238957247934	-4.54432051622381	-8.9436869515971	-8.9243176673667	-4.46631800422254	-8.80884044994677	-4.19068356160911	-4.62678267641578	-5.12928301694497	-2.60572106088795	-8.42181732683752	-8.9243176673667	-4.39231742277876	-4.71424551766612	-5.54432051622381	-8.80884044994677	-9.50928016808786	-9.33935516664555	-3.58496250072116	-11.5092801680879	-4.12928301694497	-4.46631800422254	-5.39231742277876	-4.71424551766612
22010-0044	-4.15437856823633	-4.27527800158854	-4.3583337413161	-4.52825874275841	-4.88056048668929	-4.26022365586625	-4.72779020628605	-4.68695648877747	-5.05144504589288	-4.784097647188	-5.04283191558817	-4.54033157505899	-5.11322124347957	-6.20633064787105	-5.3583337413161	-6.94329624203726	-5.24532477948691	-5.18722182492334	-4.8959905272589	-5.28540221886225	-6.76272399639543	-5.94329624203726	-6.36906014790916	-5.13136859018983	-4.96754378828393	-4.9839382265346	-6.55250628900509	-6.73470962022584	-6.57716834323936	-5.3583337413161	-5.42392208294368	-5.3583337413161	-6.94329624203726	-5.36906014790916	-6.94329624203726	-5.34768649711659	-7.22569597273798	-7.43514933836693
22010-0045	-4.0850397506673	-4.10028346273051	-4.22601337841348	-4.18132976471456	-4.49575132454336	-4.26720142462851	-4.73990426461861	-4.34029680590938	-4.81336642655963	-4.48142454304425	-4.86822836159415	-4.47289627166287	-4.87945561701741	-11.8349450230622	-4.90217569351749	-9.90565245842884	-4.87196108047048	-4.85339332043121	-5.12456811485394	-4.94478186489535	-10.4952400673549	-10.3883248634384	-9.90565245842884	-5.0256262651603	-4.67325522918355	-5.07640083239343	-10.0694102766992	-9.91027756663373	-10.7362481668587	-5.13350123962395	-5.19295508983419	-5.2500989969378	-10.672117829439	-5.12456811485394	-10.9477522720524	-5.38226907638469	-10.6711872047918	-11.1857603776216
22010-0046	-4.00727336267584	-4.20521274028775	-4.30661477249596	-4.2315640672347	-4.68477626953977	-4.46955334362217	-4.88982749126716	-4.2857561675983	-4.68023234439482	-4.44236851429593	-4.74044986722893	-4.44236851429593	-5.02733101501709	-9.29267558153809	-4.91629970262835	-8.90565245842884	-5.07425206240458	-4.97074748665072	-5.05647736067661	-5.06237796211629	-8.67118720479182	-8.08622470407066	-8.90565245842884	-4.9874907504853	-5.02733101501709	-5.17933410846214	-8.53368368104188	-8.60079787690042	-8.90565245842884	-4.89508321671865	-5.35649067913553	-5.09829753637124	-9.18576037762158	-5.15391151158223	-8.90565245842884	-5.218328240078	-9.67118720479182	-10.1857603776216
22010-0047	-8.50928016808786	-8.80884044994677	-8.50928016808786	-8.04984854945056	-8.60238957247934	-8.9243176673667	-8.39803107397315	-8.60238957247934	-9.33935516664555	-8.50928016808786	-10.1873520732005	-8.33935516664555	-8.9243176673667	-11.8349450230622	-8.60238957247934	-9.90565245842884	-8.9436869515971	-8.9243176673667	-8.80884044994677	-8.80884044994677	-10.4952400673549	-10.3883248634384	-9.90565245842884	-8.60238957247934	-8.42181732683752	-8.9243176673667	-10.0694102766992	-9.91027756663373	-10.7362481668587	-8.80884044994677	-9.50928016808786	-9.33935516664555	-10.672117829439	-11.5092801680879	-10.9477522720524	-9.33935516664555	-10.6711872047918	-11.1857603776216
22010-0048	-4.34121943349612	-4.23430422957961	-4.64934172885845	-4.18367815650964	-4.95419631038687	-5.8717341501949	-4.39780296186249	-5.1347685560287	-3.8717341501949	-4.79373163819363	-4.23430422957961	-5.71973105674985	-5.23430422957961	-11.8349450230622	-4.71973105674985	-9.90565245842884	-4.18367815650964	-4.45669665091606	-6.04165915163721	-4.1347685560287	-10.4952400673549	-10.3883248634384	-9.90565245842884	-4.39780296186249	-5.71973105674985	-4.71973105674985	-10.0694102766992	-9.91027756663373	-10.7362481668587	-5.45669665091606	-4.79373163819363	-4.8717341501949	-10.672117829439	-4.8717341501949	-10.9477522720524	-4.95419631038687	-10.6711872047918	-11.1857603776216
22010-0049	-3.77449331288231	-4.27469819542383	-4.16824725379319	-4.24256557448302	-4.80232752107904	-4.30756282932946	-4.889204971759	-4.32092121218448	-4.56926817469073	-4.43975744169433	-4.86944171693757	-4.54555210571693	-4.72926405888931	-11.8349450230622	-4.83070932244886	-9.90565245842884	-5.1864710124121	-4.63448583413721	-5.38261353459072	-5.00302487131617	-10.4952400673549	-10.3883248634384	-9.90565245842884	-5.1265995564347	-5.06911406177394	-4.65972312563624	-10.0694102766992	-9.91027756663373	-10.7362481668587	-5.24893509935875	-5.31422655961047	-5.26175913971633	-10.672117829439	-5.30092973699701	-10.9477522720524	-4.84029537127806	-10.6711872047918	-11.1857603776216
22010-0050	-4.13195066137246	-4.26333426970176	-4.12612158257026	-4.37641431951247	-4.45460904989267	-4.2569506529109	-4.58047200587393	-4.65405313825504	-4.79954712282654	-4.55284088689674	-4.68800047017838	-4.74492753826321	-4.74046789007251	-8.91039289151483	-4.91039289151483	-9.90565245842884	-4.79491567409489	-4.73158973872606	-4.92044655617875	-4.91541096628145	-10.4952400673549	-10.3883248634384	-9.90565245842884	-4.81822304758696	-4.80885486505276	-4.97179343617897	-10.0694102766992	-9.91027756663373	-10.7362481668587	-5.02503545745595	-5.27296297089953	-5.20380094639214	-10.672117829439	-5.35921870424995	-10.9477522720524	-5.16742855672718	-10.6711872047918	-11.1857603776216
22010-0051	-8.50928016808786	-2.56071495447448	-3.88264304936184	-8.04984854945056	-8.60238957247934	-8.9243176673667	-2.42321143072454	-8.60238957247934	-9.33935516664555	-8.50928016808786	-4.88264304936184	-8.33935516664555	-8.9243176673667	-11.8349450230622	-8.60238957247934	-9.90565245842884	-8.9436869515971	-8.9243176673667	-8.80884044994677	-2.56071495447448	-10.4952400673549	-10.3883248634384	-9.90565245842884	-8.60238957247934	-2.07528812730424	-5.88264304936184	-10.0694102766992	-9.91027756663373	-10.7362481668587	-8.80884044994677	-3.07528812730424	-9.33935516664555	-10.672117829439	-11.5092801680879	-10.9477522720524	-9.33935516664555	-10.6711872047918	-11.1857603776216
22010-0052	-4.29391371871777	-4.21674585819531	-4.08746284125034	-4.29391371871777	-4.63178335747415	-4.75731423955801	-4.37544360421436	-4.87097102135358	-4.73561916845869	-4.65196123941178	-4.27814640285945	-4.57288966842058	-4.82442843541655	-11.8349450230622	-4.57288966842058	-9.90565245842884	-4.63178335747415	-4.65196123941178	-4.65196123941178	-4.80170835891646	-10.4952400673549	-10.3883248634384	-9.90565245842884	-5.15785216914174	-5.07378790435326	-5.4093909361377	-10.0694102766992	-9.91027756663373	-10.7362481668587	-5.34227674027917	-4.91906530955462	-5.07378790435326	-10.672117829439	-4.99435343685886	-10.9477522720524	-5.51630614005421	-10.6711872047918	-11.1857603776216
22010-0053	-4.38898940506101	-4.23466125866971	-4.114367024952	-4.17326071400557	-4.46054266608604	-4.46054266608604	-4.34318571544788	-4.38898940506101	-4.53583079339028	-4.72847587133267	-4.48520472032031	-4.75822321472672	-5.17326071400557	-11.8349450230622	-4.72847587133267	-9.90565245842884	-4.67076037347639	-4.75822321472672	-5.48520472032031	-5.05778349658563	-10.4952400673549	-10.3883248634384	-9.90565245842884	-4.88375409681058	-4.81962375939087	-5.58829821328441	-10.0694102766992	-9.91027756663373	-10.7362481668587	-4.95086829266912	-4.88375409681058	-5.34318571544788	-10.672117829439	-5.29879159608943	-10.9477522720524	-4.81962375939087	-10.6711872047918	-11.1857603776216
22010-0054	-8.50928016808786	-8.80884044994677	-8.50928016808786	-8.04984854945056	-8.60238957247934	-8.9243176673667	-8.39803107397315	-8.60238957247934	-9.33935516664555	-8.50928016808786	-10.1873520732005	-8.33935516664555	-8.9243176673667	-3.17791779219584	-8.60238957247934	-3.29039252145426	-8.9436869515971	-8.9243176673667	-8.80884044994677	-8.80884044994677	-3.25191837363962	-3.41238304583287	-3.6924909650256	-8.60238957247934	-8.42181732683752	-8.9243176673667	-4.10752846430444	-3.54564957669633	-3.37056287013824	-8.80884044994677	-9.50928016808786	-9.33935516664555	-3.97628393102619	-11.5092801680879	-4.49984588708321	-9.33935516664555	-4.10752846430444	-3.25191837363962
22010-0055	-8.50928016808786	-8.80884044994677	-8.50928016808786	-8.04984854945056	-8.60238957247934	-8.9243176673667	-8.39803107397315	-8.60238957247934	-9.33935516664555	-8.50928016808786	-10.1873520732005	-8.33935516664555	-8.9243176673667	-11.8349450230622	-8.60238957247934	-9.90565245842884	-8.9436869515971	-8.9243176673667	-8.80884044994677	-8.80884044994677	0	-10.3883248634384	-9.90565245842884	-8.60238957247934	-8.42181732683752	-8.9243176673667	-10.0694102766992	-9.91027756663373	-10.7362481668587	-8.80884044994677	-9.50928016808786	-9.33935516664555	-10.672117829439	-11.5092801680879	-10.9477522720524	-9.33935516664555	-10.6711872047918	-11.1857603776216
