feature	ASV1	ASV2	ASV3	ASV4	ASV5	ASV6	ASV7	ASV8	ASV9	ASV10	ASV11	ASV12	ASV13	ASV14	ASV15	ASV16	ASV17	ASV18	ASV19	ASV20	ASV21	ASV22	ASV23	ASV24	ASV25	ASV26	ASV27	ASV28	ASV29	ASV30	ASV31	ASV33	ASV34	ASV35	ASV36	ASV37	ASV38	ASV39
22010-0031	1.33985785855761	0.745660025632063	0.885471280438075	0.722358149831061	0.46603751602004	0.757310963532564	0.407782826517535	0.640801584527554	0.547594081323547	0.768961901433065	0.547594081323547	0.838867528836071	0.664103460328556	0.664103460328556	0.396131888617034	0	0.454386578119539	0.500990329721543	0.512641267622044	0.535943143423046	0	0	0	0.524292205522545	0.58254689502505	0.512641267622044	0	0	0	0.419433764418036	0.372830012816032	0.489339391821042	0	0.442735640219038	0	0.442735640219038	0	0
22010-0032	4.81293476217334	4.91633765745441	4.31472081218274	4.36172212821959	3.95751081030269	4.04211317916902	3.60970107163001	3.72250423011844	3.09268659522467	3.8917089678511	3.72250423011844	4.02331265275428	2.99868396315097	0	2.84827975183305	0	2.79187817258883	2.85768001504042	3.177288964091	2.82007896221094	0	0	0	2.3030644858056	2.75427711975935	2.56627185561196	0	0	0	2.35006580184245	2.04925737920662	2.16206053769506	0	2.43466817070878	0	2.72607633013724	0	0
22010-0033	5.45941294578832	4.58934888612678	4.7710106128693	4.19734200210345	3.80533511808012	3.26991108136533	3.97743570130988	3.29859451190362	3.46113395162061	4.38856487235873	3.52806195620996	3.68104025241419	3.55674538674826	0	3.17429964623769	0	3.05956592408452	2.70580361411225	3.02132135003346	3.04044363705899	0	0	0	2.97351563246964	2.27555215603786	2.55282531790802	0	0	0	2.78229276221436	2.65799789654843	2.71536475762501	0	2.21818529496128	0	2.7727316187016	0	0
22010-0034	3.76401494927923	2.97650827549386	3.33689268553123	2.60277629471436	2.48264815803524	3.35024025627336	2.44260544580886	2.40256273358249	2.02883075280299	2.78964228510411	1.94874532835024	2.10891617725574	2.13561131873999	0	1.38814735718099	0	1.94874532835024	2.25573945541911	1.74853176721837	1.69514148424987	0	0	0	1.57501334757074	2.10891617725574	1.64175120128137	0	0	0	1.88200747463962	1.30806193272824	1.77522690870262	0	1.69514148424987	0	1.24132407901762	0	0
22010-0035	0	0	0	0	0	0	0	0	0	0	0	0	0	4.39158962123471	0	3.90694900089472	0	0.350432448553534	0	0	3.99642111541903	3.58634059051596	3.5416045332538	0	0	0	3.21354011333135	4.57798985982702	3.20608410378765	0	0	0	4.10826125857441	0	4.23501342081718	0	4.10826125857441	3.4521324187295
22010-0036	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1716272166237	0	3.25755800328099	0	0	0	0	2.98414186391688	2.98414186391688	2.99976564330912	0	0	0	2.73416139364112	2.87477540817124	2.39825013670807	0	0	0	2.57011171002265	0	2.4138739161003	0	2.60917115850324	2.82790406999453
22010-0037	3.96291670669613	3.98693438370641	3.9773273129023	3.95811317129407	4.20309347679892	3.8140071092324	4.04938034393314	3.82841771543856	4.00614852531463	3.31443942741858	4.16946872898453	3.50177730809876	4.13104044576809	0.148909597463733	3.76116821980978	0.220962628494572	3.45854548948026	3.15592275915074	3.23277932558363	2.98299548467672	0.124891920453454	0.134498991257566	0.21135555769046	2.65635507733692	2.52185608607935	2.75242578537804	0.201748486886348	0.187337880680181	0.10567777884523	2.76203285618215	2.82447881640888	2.44980305504852	0.110481314247286	2.54107022768758	0.0912671726390624	2.30089345758478	0.124891920453454	0.168123739071957
22010-0038	3.72335641694397	3.45354798093354	3.33213418472884	3.12528105045418	4.08310099829121	2.89144707257847	4.41586473603741	3.01735767605	4.13256587822646	2.90044068711215	4.07860419102437	2.76553646910693	3.89423509308391	0	3.96618400935336	0	3.38609587193093	3.57945858440507	3.90772551488443	3.42207033006565	0	0	0	2.90493749437899	2.32484935695656	2.90044068711215	0	0	0	2.97688641064844	2.96339598884792	2.92292472344635	0	2.86896303624427	0	3.02635129058369	0	0
22010-0039	0	0	0	0	0	0	0	0	0	0	0	0	0	4.07417813992695	0	3.58246698510818	0	0	0	0	3.63866254565889	3.75105366676033	3.86344478786176	0	0	0	3.91964034841248	2.92216914863726	2.95026692891262	0	0	0	2.45855577409385	0	2.73953357684743	0	2.68333801629671	2.41640910368081
22010-0040	0	0	0	0.15636105188344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0041	0	0	0	0	0	0	0	0	0	0	0	0	0	4.21046484466246	0.286148096239196	4.26302265825742	0	0	0	0	3.94767577668769	3.51553375379584	3.84839990656389	0	0	0	3.48633496846531	4.25718290119131	3.40457836953983	0	0	0	3.90679747722495	0	3.61480962391964	0	3.55057229619248	3.1826676010278
22010-0042	2.61020881670534	2.73201856148492	2.40719257540603	2.54640371229698	3.82830626450116	2.35498839907193	3.79350348027842	2.36078886310905	3.57308584686775	1.96055684454756	3.09164733178654	2.29118329466357	3.53248259860789	0	3.24245939675174	0	2.94663573085847	2.2215777262181	2.74941995359629	2.63921113689095	0	0	0	2.2215777262181	1.68793503480278	2.12877030162413	0	0	0	2.12296983758701	2.24477958236659	2.18097447795824	0	1.9431554524362	0	1.69953596287703	0	0
22010-0043	0	0	0	0.227468338866347	0	0	0	0	0.264355096520349	0.110660272962007	0	0	0	0.0922168941350055	0	0.110660272962007	0	0	0.11680806590434	0	0.141399237673675	0.104512480019673	0.0737735153080044	0.424197713021025	0	0	0.122955858846674	0.0983646870773392	0.0553301364810033	0	0	0	0.21517275298168	0	0.147547030616009	0.11680806590434	0.061477929423337	0.0983646870773392
22010-0044	4.23878969606106	3.89805097451274	3.67997819272182	3.27109172686384	2.56235518604334	3.93893962109854	2.84857571214393	2.93035300531552	2.27613465994276	2.73953932124847	2.28976420880469	3.24383262913998	2.18072781790923	1.02221616464495	1.83998909636091	0.61332969878697	1.98991413384217	2.07169142701377	2.53509608831948	1.93539593839444	0.695106991958566	1.22665939757394	0.913179773749489	2.15346872018536	2.41243014856208	2.38517105083822	0.804143382854028	0.708736540820499	0.790513833992095	1.83998909636091	1.75821180318931	1.83998909636091	0.61332969878697	1.82635954749898	0.61332969878697	1.85361864522284	0.504293307891509	0.436145563581845
22010-0045	5.70596298834818	5.64599040438657	5.17477724468814	5.33755997258396	4.29232350925291	5.02912954078136	3.6240575736806	4.78067169294037	3.44413982179575	4.3351610692255	3.315627141878	4.36086360520905	3.28992460589445	0	3.23851953392735	0	3.30705962988348	3.34989718985607	2.77587388622344	3.14427690198766	0	0	0	2.97292666209733	3.79540781357094	2.87011651816313	0	0	0	2.75873886223441	2.64736120630569	2.54455106237149	0	2.77587388622344	0	2.32179575051405	0	0
22010-0046	4.58657499547675	3.99855256015922	3.72715759001267	3.92618056812014	2.86774018454858	3.32911163379772	2.48778722634341	3.78143658404198	2.87678668355347	3.39243712683192	2.75918219648996	3.39243712683192	2.26162475122128	0.117604487063506	2.44255473131898	0.153790483083047	2.1892527591822	2.35208974127013	2.21639225619685	2.20734575719197	0.180929980097702	0.271394970146553	0.153790483083047	2.32495024425547	2.26162475122128	2.03546227609915	0.199022978107472	0.189976479102587	0.153790483083047	2.47874072733852	1.80025330197214	2.15306676316266	0.126650986068392	2.07164827211869	0.153790483083047	1.98118328206984	0.0904649900488511	0.0633254930341958
22010-0047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0048	0.177450177450177	0.191100191100191	0.143325143325143	0.197925197925198	0.116025116025116	0.0614250614250614	0.170625170625171	0.102375102375102	0.245700245700246	0.12967512967513	0.191100191100191	0.0682500682500683	0.0955500955500955	0	0.136500136500137	0	0.197925197925198	0.163800163800164	0.0546000546000546	0.204750204750205	0	0	0	0.170625170625171	0.0682500682500683	0.136500136500137	0	0	0	0.0819000819000819	0.12967512967513	0.122850122850123	0	0.122850122850123	0	0.116025116025116	0	0
22010-0049	3.34184759472116	2.36270753512133	2.5436355896126	2.41592166879523	1.63899531715624	2.30949340144742	1.54320987654321	2.28820774797786	1.92635163899532	2.10727969348659	1.56449553001277	1.95828011919966	1.72413793103448	0	1.60706683695189	0	1.25585355470413	1.84120902511707	1.09621115368242	1.42613878246062	0	0	0	1.30906768837803	1.36228182205194	1.80928054491273	0	0	0	1.20263942103023	1.14942528735632	1.19199659429544	0	1.1600681140911	0	1.59642401021711	0	0
22010-0050	4.74361436527751	4.33070866141732	4.76281928173612	4.0042250816209	3.79297100057615	4.34991357787594	3.47608987900903	3.30324563088151	2.98636450931438	3.54330708661417	3.22642596504705	3.10159400806607	3.11119646629537	0.172844248127521	2.76550797004033	0	2.99596696754369	3.13040138275398	2.74630305358172	2.75590551181102	0	0	0	2.94795467639716	2.96715959285577	2.65027847128865	0	0	0	2.55425388899558	2.1509506433647	2.25657768388708	0	2.02611868638371	0	2.31419243326292	0	0
22010-0051	0	0.177462289263531	0.0709849157054126	0	0	0	0.195208518189885	0	0	0	0.0354924578527063	0	0	0	0	0	0	0	0	0.177462289263531	0	0	0	0	0.248447204968944	0.0177462289263531	0	0	0	0	0.124223602484472	0	0	0	0	0	0	0
22010-0052	0.839948310873177	0.88609931696511	0.969171127930589	0.839948310873177	0.664574487723832	0.609193280413513	0.793797304781244	0.56304227432158	0.6184234816319	0.655344286505446	0.849178512091563	0.692265091378992	0.581502676758353	0	0.692265091378992	0	0.664574487723832	0.655344286505446	0.655344286505446	0.59073287797674	0	0	0	0.461510060919328	0.489200664574488	0.387668451172236	0	0	0	0.406128853609009	0.544581871884807	0.489200664574488	0	0.516891268229647	0	0.359977847517076	0	0
22010-0053	0.394753597351331	0.439322551890997	0.477524512924997	0.458423532407997	0.375652616834331	0.375652616834331	0.407487584362664	0.394753597351331	0.356551636317331	0.311982681777665	0.369285623328664	0.305615688271998	0.229211766203998	0	0.311982681777665	0	0.324716668788998	0.305615688271998	0.184642811664332	0.248312746720998	0	0	0	0.280147714249331	0.292881701260665	0.171908824652999	0	0	0	0.267413727237998	0.280147714249331	0.203743792181332	0	0.210110785686999	0	0.292881701260665	0	0
22010-0054	0	0	0	0	0	0	0	0	0	0	0	0	0	0.488997555012225	0	0.452322738386308	0	0	0	0	0.464547677261614	0.415647921760391	0.342298288508557	0	0	0	0.256723716381418	0.378973105134474	0.427872860635697	0	0	0	0.281173594132029	0	0.19559902200489	0	0.256723716381418	0.464547677261614
22010-0055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.496878583259014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.194280857264283	0.455345759213163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0057	0	0	0	0	0	0	0	0	0	0.202582932387946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.145606482653836	0	0	0	0	0	0	0	0	0	0
22010-0058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0059	0	0	0	0	0	0	0	0	0	0	0	0	0	0.428948526176859	0	0.340959084909811	0	0	0	0	0.417949846018478	0.241970963484382	0.32996040475143	0	0	0	0.252969643642763	0.417949846018478	0.351957765068192	0	0	0	0.384953805543335	0	0.362956445226573	0	0.296964364276287	0.340959084909811
22010-0060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.813008130081301	0	0	0	0	0	0	0	0	0
22010-0061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0067	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22154358689617	0	1.04992176063803	0	0	0	0	1.00954015445964	0.903538438241381	1.00449245368735	0	0	0	0.898490737469083	0.858109131290697	0.93382464287517	0	0	0	0.73696431275554	0	0.817727525112311	0	0.615819494220383	0.747059714300136
22010-0068	0	0	0	0	0	0	0	0	0	0	0	0	0	1.39814069248225	0	1.20049776736696	0	0	0	0	1.22977820071737	1.05409560061489	0.958934192226045	0	0	0	1.02481516726448	1.0760559256277	1.10533635897811	0	0	0	0.812532025473977	0	0.966254300563648	0	0.893053217187614	0.958934192226045
22010-0069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0071	0	0	0.277679830747532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0075	0	0.0502627370344985	0.155357550833905	0	0	0.0868174548777702	0.0456933973040896	0	0	0	0.105094813799406	0.0411240575736806	0.0319853781128627	0.671692940370117	0	0.447795293580078	0.0228466986520448	0	0	0.0365547178432716	0.424948594928033	0.520904729266621	0.557459447109893	0	0	0.137080191912269	0.374685857893534	0.370116518163125	0.374685857893534	0.0594014164953164	0	0.0228466986520448	0.255883024902902	0	0.297007082476582	0	0.287868403015764	0.246744345442084
