feature	ASV1	ASV2	ASV3	ASV4	ASV5	ASV6	ASV7	ASV8	ASV9	ASV10	ASV11	ASV12	ASV13	ASV14	ASV15	ASV16	ASV17	ASV18	ASV19	ASV20	ASV21	ASV22	ASV23	ASV24	ASV25	ASV26	ASV27	ASV28	ASV29	ASV30	ASV31	ASV33	ASV34	ASV35	ASV36	ASV37	ASV38	ASV39
22010-0027	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123809523809524	0	0.104761904761905	0	0	0	0	0.152380952380952	0.0952380952380952	0.0761904761904762	0	0	0	0.0857142857142857	0.0761904761904762	0.0285714285714286	0	0	0	0.0476190476190476	0	0.0476190476190476	0	0.104761904761905	0.0571428571428571
22010-0028	0.0590167524362203	0.0515712252271981	0.050914266944049	0.0548560166429432	0.0433592466878353	0.0467535311507719	0.0401839483192817	0.0442351910653673	0.0390890178473667	0.0481769407642614	0.0365706777619621	0.0434687397350268	0.0367896638563451	0.000547465235957516	0.0350377751012811	0	0.032628928063068	0.0331763932990255	0.0295631227417059	0.0387605387057922	0	0	0	0.0323004489214935	0.0347092959597065	0.0309865323551954	0.00186138180225556	0	0.00492718712361765	0.0246359356180882	0.0312055184495784	0.0281397131282163	0	0.0240884703821307	0	0.0224460746742582	0	0
22010-0029	0.0333333333333333	0.0333333333333333	0.0234972677595628	0.0213114754098361	0.0256830601092896	0.0224043715846995	0.0289617486338798	0.0229508196721311	0.0180327868852459	0.0213114754098361	0.014207650273224	0.019672131147541	0.014207650273224	0.0437158469945355	0.012568306010929	0.0453551912568306	0.0185792349726776	0.0169398907103825	0.0109289617486339	0.0163934426229508	0.0573770491803279	0.0469945355191257	0.060655737704918	0.0163934426229508	0.0103825136612022	0.0169398907103825	0.0366120218579235	0.0333333333333333	0.0398907103825137	0.0147540983606557	0.0202185792349727	0.0087431693989071	0.0360655737704918	0.0131147540983607	0.0415300546448087	0.0114754098360656	0.0322404371584699	0.0398907103825137
22010-0030	0.00548885077186964	0.00445969125214408	0.00548885077186964	0.00754716981132076	0.00514579759862779	0.00411663807890223	0.0065180102915952	0.00514579759862779	0.00308747855917667	0.00548885077186964	0.00171526586620926	0.00617495711835334	0.00411663807890223	0.0891938250428816	0.00514579759862779	0.0950257289879931	0.00583190394511149	0.00411663807890223	0.00445969125214408	0.00445969125214408	0.0871355060034305	0.088507718696398	0.0730703259005146	0.00514579759862779	0.00583190394511149	0.00411663807890223	0.0792452830188679	0.0638078902229846	0.0761578044596913	0.00445969125214408	0.00274442538593482	0.00308747855917667	0.0668953687821612	0.000686106346483705	0.0524871355060034	0.00308747855917667	0.0600343053173242	0.0507718696397942
22010-0031	0.0827933765298776	0.0460763138948884	0.05471562275018	0.0446364290856732	0.0287976961843053	0.046796256299496	0.0251979841612671	0.0395968322534197	0.0338372930165587	0.0475161987041037	0.0338372930165587	0.0518358531317495	0.041036717062635	0.041036717062635	0.0244780417566595	0	0.0280777537796976	0.0309575233981282	0.0316774658027358	0.0331173506119511	0	0	0	0.0323974082073434	0.0359971202303816	0.0316774658027358	0	0	0	0.0259179265658747	0.0230381569474442	0.0302375809935205	0	0.02735781137509	0	0.02735781137509	0	0
22010-0032	0.0564187327823691	0.0576308539944904	0.0505785123966942	0.051129476584022	0.0463911845730028	0.0473829201101928	0.0423140495867769	0.0436363636363636	0.0362534435261708	0.0456198347107438	0.0436363636363636	0.0471625344352617	0.0351515151515151	0	0.0333884297520661	0	0.0327272727272727	0.0334986225895317	0.0372451790633609	0.0330578512396694	0	0	0	0.0269972451790634	0.0322865013774105	0.0300826446280992	0	0	0	0.0275482093663912	0.0240220385674931	0.0253443526170799	0	0.0285399449035813	0	0.0319559228650138	0	0
22010-0033	0.0620854626508644	0.0521909318255953	0.0542568228770251	0.0477329563988257	0.0432749809720561	0.0371860389257367	0.0452321409155159	0.0375122322496466	0.0393606610851365	0.0499075785582255	0.0401217788409264	0.0418614765684462	0.0404479721648364	0	0.0360987278460368	0	0.0347939545503969	0.0307709035555072	0.0343590301185169	0.0345764923344569	0	0	0	0.033815374578667	0.0258780036968577	0.0290312058279874	0	0	0	0.0316407524192671	0.0302272480156573	0.0308796346634772	0	0.0252256170490377	0	0.0315320213112972	0	0
22010-0034	0.0664624086731087	0.0525571529578129	0.0589205750648126	0.0459580485505539	0.0438369078482206	0.0591562573650719	0.0431298609474429	0.0424228140466651	0.0358237096394061	0.0492576007541834	0.0344096158378506	0.0372378034409616	0.0377091680414801	0	0.0245109592269621	0	0.0344096158378506	0.0398303087438133	0.0308743813339618	0.0299316521329248	0	0	0	0.0278105114305916	0.0372378034409616	0.0289889229318878	0	0	0	0.0332312043365543	0.0230968654254066	0.0313457459344803	0	0.0299316521329248	0	0.0219184539241103	0	0
22010-0035	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0940894568690096	0	0.0837060702875399	0	0.00750798722044728	0	0	0.0856230031948882	0.0768370607028754	0.0758785942492013	0	0	0	0.0688498402555911	0.0980830670926518	0.0686900958466454	0	0	0	0.0880191693290735	0	0.0907348242811502	0	0.0880191693290735	0.073961661341853
22010-0036	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0937644341801386	0	0.0963048498845266	0	0	0	0	0.0882217090069284	0.0882217090069284	0.0886836027713626	0	0	0	0.0808314087759815	0.0849884526558892	0.0709006928406467	0	0	0	0.0759815242494226	0	0.0713625866050808	0	0.0771362586605081	0.0836027713625866
22010-0037	0.0439671711788531	0.0442336388829674	0.0441270518013217	0.0439138776380303	0.0466318482199958	0.0423150714133447	0.0449264549136645	0.0424749520358133	0.0444468130462588	0.0367725431677681	0.0462587934342358	0.0388509912598593	0.045832445107653	0.00165209976550842	0.0417288424642933	0.00245150287785121	0.0383713493924536	0.035013856320614	0.0358665529737796	0.0330952888509913	0.00138563206139416	0.00149221914303986	0.0023449157962055	0.0294713280750373	0.0279791089319975	0.0305371988914944	0.0022383287145598	0.00207844809209124	0.00117245789810275	0.0306437859731401	0.0313366020038371	0.0271797058196547	0.0012257514389256	0.0281922830952889	0.00101257727563419	0.0255276060541462	0.00138563206139416	0.00186527392879983
22010-0038	0.042815036971922	0.0397124980609132	0.0383163555509592	0.0359377423858524	0.0469517555199338	0.0332488753296448	0.0507782201768447	0.0346967268214489	0.0475205543202854	0.0333522932933451	0.0469000465380837	0.0318010238378406	0.0447799782822276	0	0.04560732199183	0	0.038936863333161	0.0411603495527173	0.0449351052277781	0.0393505351879621	0	0	0	0.0334040022751952	0.0267335436165262	0.0333522932933451	0	0	0	0.0342313459847976	0.0340762190392471	0.0336108382025958	0	0.032990330420394	0	0.0348001447851492	0	0
22010-0039	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104466858789625	0	0.0918587896253602	0	0	0	0	0.093299711815562	0.0961815561959654	0.0990634005763689	0	0	0	0.100504322766571	0.0749279538904899	0.0756484149855908	0	0	0	0.0630403458213257	0	0.0702449567723343	0	0.0688040345821326	0.0619596541786744
22010-0040	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0041	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0925902144599974	0.00629253884679594	0.0937459869012457	0	0	0	0	0.0868113522537563	0.077308334403493	0.0846282265313985	0	0	0	0.0766662386027995	0.093617567741107	0.0748683703608578	0	0	0	0.0859124181327854	0	0.0794914601258508	0	0.0780788493643252	0.0699884422755875
22010-0042	0.0388936905790838	0.0407087294727744	0.0358686257562662	0.037942955920484	0.0570440795159896	0.0350907519446845	0.0565254969749352	0.0351771823681936	0.0532411408815903	0.0292134831460674	0.0460674157303371	0.0341400172860847	0.0526361279170268	0	0.048314606741573	0	0.0439066551426102	0.0331028522039758	0.0409680207433016	0.0393258426966292	0	0	0	0.0331028522039758	0.0251512532411409	0.0317199654278306	0	0	0	0.0316335350043215	0.0334485738980121	0.0324978392394123	0	0.0289541918755402	0	0.025324114088159	0	0
22010-0043	0	0	0	0.0880952380952381	0	0	0	0	0.102380952380952	0.0428571428571429	0	0	0	0.0357142857142857	0	0.0428571428571429	0	0	0.0452380952380952	0	0.0547619047619048	0.0404761904761905	0.0285714285714286	0.164285714285714	0	0	0.0476190476190476	0.0380952380952381	0.0214285714285714	0	0	0	0.0833333333333333	0	0.0571428571428571	0.0452380952380952	0.0238095238095238	0.0380952380952381
